
2025/06/21 (10:10:18) | ===> btop++ v.1.2.3
2025/06/21 (10:10:18) | INFO: Logger set to DEBUG
2025/06/21 (10:10:18) | DEBUG: Using locale en_IN.UTF-8
2025/06/21 (10:10:18) | INFO: Running on /dev/pts/2
2025/06/21 (10:11:03) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2025/06/21 (10:11:07) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2025/06/21 (10:11:09) | DEBUG: Loading theme file: /usr/share/btop/themes/monokai.theme
2025/06/21 (10:11:09) | DEBUG: Loading theme file: /usr/share/btop/themes/onedark.theme
2025/06/21 (10:11:10) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2025/06/21 (10:11:10) | DEBUG: Loading theme file: /usr/share/btop/themes/greyscale.theme
2025/06/21 (10:11:11) | DEBUG: Loading theme file: /usr/share/btop/themes/dracula.theme
2025/06/21 (10:11:11) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2025/06/21 (10:11:12) | DEBUG: Loading theme file: /usr/share/btop/themes/kyli0x.theme
2025/06/21 (10:11:12) | DEBUG: Loading theme file: /usr/share/btop/themes/whiteout.theme
2025/06/21 (10:11:13) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2025/06/21 (10:11:13) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2025/06/21 (10:11:14) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2025/06/21 (10:11:14) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2025/06/21 (10:11:14) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2025/06/21 (10:11:15) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark_v2.theme
2025/06/21 (10:11:15) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme
2025/06/21 (10:11:16) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2025/06/21 (10:11:16) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2025/06/21 (10:11:17) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2025/06/21 (10:11:52) | DEBUG: Writing new config file
2025/06/21 (10:11:52) | INFO: Quitting! Runtime: 00:01:34

2025/06/21 (10:11:54) | ===> btop++ v.1.2.3
2025/06/21 (10:11:54) | INFO: Logger set to DEBUG
2025/06/21 (10:11:54) | DEBUG: Using locale en_IN.UTF-8
2025/06/21 (10:11:54) | INFO: Running on /dev/pts/2
2025/06/21 (10:13:15) | INFO: Quitting! Runtime: 01:28:30

2025/06/21 (10:13:18) | ===> btop++ v.1.2.3
2025/06/21 (10:13:18) | INFO: Logger set to DEBUG
2025/06/21 (10:13:18) | DEBUG: Using locale en_IN.UTF-8
2025/06/21 (10:13:18) | INFO: Running on /dev/pts/3
2025/06/21 (10:13:34) | INFO: Quitting! Runtime: 00:01:40
2025/06/21 (10:15:25) | INFO: Quitting! Runtime: 00:02:07

2025/06/21 (10:15:27) | ===> btop++ v.1.2.3
2025/06/21 (10:15:27) | INFO: Logger set to DEBUG
2025/06/21 (10:15:27) | DEBUG: Using locale en_IN.UTF-8
2025/06/21 (10:15:27) | INFO: Running on /dev/pts/3
2025/06/21 (10:15:27) | DEBUG: Loading theme file: /home/yash/.config/btop/themes/tokyo-night.theme
2025/06/21 (10:17:41) | INFO: Quitting! Runtime: 00:02:14

2025/06/21 (10:17:43) | ===> btop++ v.1.2.3
2025/06/21 (10:17:43) | INFO: Logger set to DEBUG
2025/06/21 (10:17:43) | DEBUG: Using locale en_IN.UTF-8
2025/06/21 (10:17:43) | INFO: Running on /dev/pts/3
2025/06/21 (10:17:43) | DEBUG: Loading theme file: /home/yash/.config/btop/themes/tokyo-night.theme
2025/06/21 (10:17:56) | INFO: Quitting! Runtime: 00:00:13

2025/06/21 (10:17:58) | ===> btop++ v.1.2.3
2025/06/21 (10:17:58) | INFO: Logger set to DEBUG
2025/06/21 (10:17:58) | DEBUG: Using locale en_IN.UTF-8
2025/06/21 (10:17:58) | INFO: Running on /dev/pts/3
2025/06/21 (10:17:58) | DEBUG: Loading theme file: /home/yash/.config/btop/themes/tokyo-night.theme
2025/06/21 (10:19:16) | DEBUG: Writing new config file
2025/06/21 (10:19:16) | INFO: Quitting! Runtime: 00:01:18

2025/06/21 (10:19:18) | ===> btop++ v.1.2.3
2025/06/21 (10:19:18) | INFO: Logger set to DEBUG
2025/06/21 (10:19:18) | DEBUG: Using locale en_IN.UTF-8
2025/06/21 (10:19:18) | INFO: Running on /dev/pts/3
2025/06/21 (10:19:18) | DEBUG: Loading theme file: /home/yash/.config/btop/themes/tokyo-night.theme
2025/06/21 (10:19:32) | INFO: Quitting! Runtime: 00:00:14

2025/06/21 (10:19:33) | ===> btop++ v.1.2.3
2025/06/21 (10:19:33) | INFO: Logger set to DEBUG
2025/06/21 (10:19:33) | DEBUG: Using locale en_IN.UTF-8
2025/06/21 (10:19:33) | INFO: Running on /dev/pts/3
2025/06/21 (10:19:33) | DEBUG: Loading theme file: /home/yash/.config/btop/themes/tokyo-night.theme
